participants,type,score
0,alone,2
1,youtube,2
2,alone,4
3,youtube,5
4,youtube,2
5,alone,1
6,youtube,4
7,youtube,2
8,youtube,2
9,youtube,4
10,alone,3
11,youtube,2
12,alone,2
13,youtube,3
14,alone,4
15,youtube,3
16,youtube,3
17,youtube,3
18,youtube,2
19,youtube,2
20,app,2
21,youtube,3
22,youtube,3
23,youtube,1
24,youtube,2
25,youtube,3
26,youtube,1
27,youtube,2
28,youtube,3
29,youtube,3
30,youtube,4
31,youtube,3
32,youtube,2
33,youtube,3
34,youtube,4
35,alone,2
36,app,4
37,youtube,2
38,youtube,3
39,youtube,1
40,app,4
41,app,2
42,youtube,2
43,youtube,3
44,youtube,2
45,youtube,3
46,alone,5
47,alone,3
48,alone,3
49,alone,3
50,youtube,4
51,app,2
52,youtube,3
53,alone,1
54,alone,2
55,alone,2
56,youtube,3
57,youtube,2
58,youtube,2
59,youtube,4
60,alone,5
61,alone,5
62,youtube,4
63,youtube,4
64,youtube,2
65,alone,1
66,youtube,2
67,youtube,2
68,alone,5
69,total,2
70,total,2
71,total,4
72,total,5
73,total,2
74,total,1
75,total,4
76,total,2
77,total,2
78,total,4
79,total,3
80,total,2
81,total,2
82,total,3
83,total,4
84,total,3
85,total,3
86,total,3
87,total,2
88,total,2
89,total,2
90,total,3
91,total,3
92,total,1
93,total,2
94,total,3
95,total,1
96,total,2
97,total,3
98,total,3
99,total,4
100,total,3
101,total,2
102,total,3
103,total,4
104,total,2
105,total,4
106,total,2
107,total,3
108,total,1
109,total,4
110,total,2
111,total,2
112,total,3
113,total,2
114,total,3
115,total,5
116,total,3
117,total,3
118,total,3
119,total,4
120,total,2
121,total,3
122,total,1
123,total,2
124,total,2
125,total,3
126,total,2
127,total,2
128,total,4
129,total,5
130,total,5
131,total,4
132,total,4
133,total,2
134,total,1
135,total,2
136,total,2
137,total,5
