YE1,YE2,YE3,YE,VI1,VI2,VI3,VI4,VI5,VI6,VI7,VI8,VI,SE1,SE2,SE3,SE4,SE5,SE6,SE
6,6,6,6,7,7,3,5,7,7,7,7,6.25,4,7,7,4,6,7,5.833333333
6,6,6,6,7,7,5,6,6,6,5,6,6,5,7,6,7,6,6,6.166666667
6,7,6,6.333333333,5,7,5,7,6,7,5,6,6,5,6,7,6,7,7,6.333333333
7,7,7,7,7,7,7,7,7,7,6,7,6.875,7,7,7,7,7,7,7
4,5,6,5,7,7,7,7,3,5,6,4,5.75,3,5,6,5,4,7,5
5,6,5,5.333333333,5,6,4,4,5,5,5,5,4.875,4,5,4,5,5,5,4.666666667
3,3,6,4,7,5,2,4,6,5,6,4,4.875,3,7,7,3,6,6,5.333333333
6,2,6,4.666666667,7,7,5,6,5,7,5,7,6.125,3,6,7,7,7,7,6.166666667
6,6,6,6,6,7,7,7,7,6,6,6,6.5,5,6,6,6,7,7,6.166666667
7,5,7,6.333333333,7,5,5,6,7,6,6,7,6.125,5,6,6,7,7,6,6.166666667
4,4,4,4,6,6,6,5,6,6,6,5,5.75,5,6,6,6,6,6,5.833333333
6,6,7,6.333333333,7,7,6,7,7,7,6,7,6.75,7,7,7,6,7,7,6.833333333
