participant,period,measure,score
2,first,PF,4.166666667
7,first,PF,4.166666667
3,first,PF,3.833333333
8,first,PF,4.666666667
1,first,PF,4.166666667
5,first,PF,3.333333333
6,first,PF,3.833333333
12,first,PF,3.833333333
10,first,PF,4.833333333
14,first,PF,3.833333333
13,first,PF,4.666666667
9,first,PF,3.833333333
2,first,SM,3.666666667
7,first,SM,4.5
3,first,SM,3.833333333
8,first,SM,4.333333333
1,first,SM,3.833333333
5,first,SM,3.833333333
6,first,SM,3.833333333
12,first,SM,4.5
10,first,SM,4.833333333
14,first,SM,3.333333333
13,first,SM,4.833333333
9,first,SM,4
2,first,SS,2.833333333
7,first,SS,4
3,first,SS,3.833333333
8,first,SS,4.333333333
1,first,SS,4.166666667
5,first,SS,5
6,first,SS,4
12,first,SS,4.5
10,first,SS,3.166666667
14,first,SS,4.333333333
13,first,SS,4.5
9,first,SS,4
7,second,PF,4.333333333
2,second,PF,2.833333333
8,second,PF,4.666666667
5,second,PF,3.666666667
3,second,PF,3.833333333
1,second,PF,4.333333333
6,second,PF,3.833333333
10,second,PF,5
13,second,PF,4.5
12,second,PF,4.666666667
9,second,PF,4
14,second,PF,4
7,second,SM,4.166666667
2,second,SM,3.666666667
8,second,SM,5
5,second,SM,4.666666667
3,second,SM,3.833333333
1,second,SM,4
6,second,SM,4.333333333
10,second,SM,5
13,second,SM,4.666666667
12,second,SM,4.166666667
9,second,SM,4
14,second,SM,4.833333333
7,second,SS,4.166666667
2,second,SS,4.166666667
8,second,SS,4.166666667
5,second,SS,3.833333333
3,second,SS,4.333333333
1,second,SS,4.833333333
6,second,SS,3.5
10,second,SS,4
13,second,SS,4.5
12,second,SS,4.5
9,second,SS,4
14,second,SS,3.833333333
7,third,PF,4.333333333
5,third,PF,4
2,third,PF,3.166666667
8,third,PF,4.833333333
3,third,PF,3.833333333
10,third,PF,4.666666667
14,third,PF,4.333333333
1,third,PF,3.5
13,third,PF,4.666666667
9,third,PF,4
12,third,PF,5
6,third,PF,4.5
7,third,SM,4.833333333
5,third,SM,3.166666667
2,third,SM,3.833333333
8,third,SM,5
3,third,SM,3.833333333
10,third,SM,4.833333333
14,third,SM,5
1,third,SM,3.833333333
13,third,SM,5
9,third,SM,4
12,third,SM,5
6,third,SM,4.833333333
7,third,SS,4
5,third,SS,3.833333333
2,third,SS,3.833333333
8,third,SS,4.666666667
3,third,SS,4.333333333
10,third,SS,5
14,third,SS,4.333333333
1,third,SS,4
13,third,SS,5
9,third,SS,4
12,third,SS,4.833333333
6,third,SS,2.666666667
